DEF,Navarro,Watford,0,4.00
DEF,Reid,West Ham,0,4.00
DEF,Pollock,Watford,0,4.00
DEF,Livramento,Southampton,0,4.00
MID,Fernandes,Man Utd,244,12.00
MID,Salah,Liverpool,231,12.50
MID,Son,Spurs,228,10.00
MID,Mané,Liverpool,176,12.00
MID,Rashford,Man Utd,174,9.50
MID,Dallas,Leeds,171,5.50
MID,Harrison,Leeds,160,6.00
MID,Gündogan,Man City,157,7.50
MID,Ward-Prowse,Southampton,156,6.50
MID,Sterling,Man City,154,11.00
MID,Soucek,West Ham,147,6.00
MID,Mount,Chelsea,147,7.50
MID,Mahrez,Man City,145,9.00
MID,Bowen,West Ham,141,6.50
MID,De Bruyne,Man City,141,12.00
MID,Zaha,Crystal Palace,136,7.00
MID,Traoré,Aston Villa,135,6.00
MID,Grealish,Man City,135,8.00
MID,Foden,Man City,135,8.00
MID,Raphinha,Leeds,133,6.50
MID,Tielemans,Leicester,133,6.50
MID,Maddison,Leicester,133,7.00
MID,Trossard,Brighton,132,6.50
MID,Barnes,Leicester,126,7.00
MID,Eze,Crystal Palace,125,6.00
MID,Fornals,West Ham,125,6.00
MID,Neto,Wolves,124,6.50
MID,Sigurdsson,Everton,122,7.00
MID,Groß,Brighton,116,6.00
MID,Armstrong,Southampton,115,6.00
MID,McGinn,Aston Villa,114,6.00
MID,Jorginho,Chelsea,114,6.00
MID,Saka,Arsenal,114,6.50
MID,Pépé,Arsenal,114,7.50
MID,McNeil,Burnley,113,6.00
MID,Westwood,Burnley,112,5.50
MID,El Ghazi,Aston Villa,111,6.00
MID,Højbjerg,Spurs,107,5.00
MID,Lingard,Man Utd,106,7.00
MID,Greenwood,Man Utd,106,7.50
MID,Neves,Wolves,104,5.50
MID,James,Everton,101,7.00
MID,Klich,Leeds,99,5.50
MID,Ndombele,Spurs,99,6.00
MID,Almirón,Newcastle,97,5.50
MID,Torres,Man City,95,7.00
MID,Townsend,Everton,94,5.50
MID,Traoré,Wolves,94,6.00
MID,Bernardo,Man City,94,7.00
MID,Pogba,Man Utd,92,7.50
MID,Rodrigo,Man City,91,5.50
