MID,March,Brighton,69,5.50,13
MID,Kanté,Chelsea,62,5.00,12
MID,Maitland-Niles,Arsenal,68,5.50,12
FWD,Joelinton,Newcastle,74,6.00,12
MID,Lucas Moura,Spurs,80,6.50,12
MID,Pogba,Man Utd,92,7.50,12
DEF,Christensen,Chelsea,61,5.00,12
MID,Benrahma,West Ham,73,6.00,12
DEF,Ait Nouri,Wolves,54,4.50,12
MID,Willian,Arsenal,78,6.50,12
MID,Loftus-Cheek,Chelsea,66,5.50,12
FWD,Fabio Silva,Wolves,72,6.00,12
MID,Schlupp,Crystal Palace,65,5.50,12
DEF,Söyüncü,Leicester,59,5.00,12
DEF,Fernández,Newcastle,53,4.50,12
MID,De Bruyne,Man City,141,12.00,12
FWD,Ayew,Crystal Palace,70,6.00,12
FWD,Cavani,Man Utd,99,8.50,12
DEF,Davies,Spurs,52,4.50,12
MID,Romeu,Southampton,52,4.50,12
MID,Jota,Liverpool,86,7.50,11
DEF,Mendy,Man City,63,5.50,11
MID,Milivojevic,Crystal Palace,63,5.50,11
MID,Costa,Leeds,63,5.50,11
FWD,Vydra,Burnley,62,5.50,11
MID,Henderson,Liverpool,56,5.00,11
MID,Redmond,Southampton,67,6.00,11
DEF,Pieters,Burnley,50,4.50,11
DEF,Llorente,Leeds,50,4.50,11
MID,Elneny,Arsenal,50,4.50,11
MID,Iwobi,Everton,65,6.00,11
MID,Kovacic,Chelsea,54,5.00,11
MID,Hudson-Odoi,Chelsea,59,5.50,11
MID,Havertz,Chelsea,91,8.50,11
GK,Dubravka,Newcastle,48,4.50,11
FWD,Abraham,Chelsea,69,6.50,11
DEF,Laporte,Man City,58,5.50,11
MID,Lallana,Brighton,58,5.50,11
MID,Allan,Everton,47,4.50,10
DEF,Ritchie,Newcastle,52,5.00,10
MID,Hendrick,Newcastle,52,5.00,10
DEF,Alonso,Chelsea,57,5.50,10
MID,Pulisic,Chelsea,82,8.00,10
DEF,Clark,Newcastle,46,4.50,10
MID,Trézéguet,Aston Villa,56,5.50,10
DEF,Krafth,Newcastle,45,4.50,10
MID,Thiago,Liverpool,55,5.50,10
MID,Jones,Liverpool,50,5.00,10
MID,McArthur,Crystal Palace,45,4.50,10
FWD,Rodriguez,Burnley,54,5.50,10
MID,Roberts,Leeds,49,5.00,10
DEF,Ampadu,Chelsea,44,4.50,10
DEF,Lascelles,Newcastle,44,4.50,10
DEF,Lewis,Newcastle,44,4.50,10
MID,Sissoko,Spurs,44,4.50,10
MID,Pérez,Leicester,58,6.00,10
MID,André Gomes,Everton,48,5.00,10
DEF,Sánchez,Spurs,43,4.50,10
FWD,Barnes,Burnley,52,5.50,9
DEF,Doherty,Spurs,47,5.00,9
MID,Partey,Arsenal,47,5.00,9
MID,Davies,Everton,47,5.00,9
FWD,Martial,Man Utd,75,8.00,9
DEF,Masuaku,West Ham,42,4.50,9
DEF,Diop,West Ham,42,4.50,9
MID,Ziyech,Chelsea,70,7.50,9
MID,Bergwijn,Spurs,55,6.00,9
DEF,Stephens,Southampton,41,4.50,9
MID,Mendy,Leicester,41,4.50,9
MID,S.Longstaff,Newcastle,41,4.50,9
MID,Gudmundsson,Burnley,50,5.50,9
DEF,Dummett,Newcastle,40,4.50,9
MID,Hayden,Newcastle,40,4.50,9
GK,Henderson,Man Utd,44,5.00,9
